order_id,created_time,delivered_time,customer_node,quantity,warehouse_id,warehouse_node,vehicle_id,travel_distance,travel_time,delay,stockout,cost
0,3.2280745532469757,13.346946007699938,C2,6,W0,W0,V0,9.868871454452961,10.118871454452961,10.118871454452961,0,9.868871454452961
2,11.061898418878593,23.098431055772945,C0,3,W1,W1,V1,11.786532636894352,12.036532636894352,12.036532636894352,0,11.786532636894352
1,6.327409671354362,23.6997735740252,C7,5,W2,W2,V2,17.122363902670838,17.372363902670838,17.37236390267084,0,17.122363902670838
3,17.59549714029967,29.51583981342732,C4,3,W1,W1,V1,6.167408757654375,6.417408757654375,11.92034267312765,0,6.167408757654375
5,19.195739221415483,33.43319093445121,C10,2,W0,W0,V3,13.98745171303573,14.23745171303573,14.237451713035728,0,13.98745171303573
6,19.68711910274256,35.93324857108169,C4,2,W1,W1,V1,6.167408757654375,6.417408757654375,16.24612946833913,0,6.167408757654375
4,17.7582751857368,37.28859709241353,C6,3,W2,W2,V2,13.338823518388333,13.588823518388333,19.530321906676733,0,13.338823518388333
9,36.81073913355931,43.22814789121368,C4,4,W1,W1,V4,6.167408757654375,6.417408757654375,6.417408757654371,0,6.167408757654375
7,30.86638596344634,56.715569186157566,C9,3,W2,W2,V2,19.176972093744038,19.426972093744038,25.849183222711225,0,19.176972093744038
8,31.87031856775181,76.06890025637004,C5,4,W2,W2,V2,19.10333107021248,19.35333107021248,44.19858168861823,0,19.10333107021248
10,42.589243485800694,89.65772377475838,C6,1,W2,W2,V2,13.338823518388333,13.588823518388333,47.06848028895769,0,13.338823518388333
20,93.15300280334682,107.65119519924531,C1,5,W1,W1,V1,14.248192395898489,14.498192395898489,14.498192395898485,0,14.248192395898489
11,45.933270035202426,109.51282694344157,C10,2,W0,W0,V2,19.605103168683186,19.855103168683186,63.57955690823914,0,19.605103168683186
12,45.99794027400364,128.86615801365406,C5,2,W2,W2,V2,19.10333107021248,19.35333107021248,82.86821773965042,0,19.10333107021248
23,119.13978969973397,142.77829483695916,C6,2,W1,W1,V4,23.38850513722519,23.63850513722519,23.638505137225195,0,23.38850513722519
13,47.57334549949006,145.63890250165957,C11,3,W2,W2,V2,16.52274448800552,16.77274448800552,98.06555700216951,0,16.52274448800552
14,56.77549145795548,156.54886165615514,C4,3,W2,W2,V2,10.65995915449556,10.90995915449556,99.77337019819966,0,10.65995915449556
25,136.74882849685716,165.27879034340452,C8,4,W1,W1,V4,22.25049550644535,22.50049550644535,28.529961846547366,0,22.25049550644535
15,64.81619364914133,167.4588208106507,C4,2,W2,W2,V2,10.65995915449556,10.90995915449556,102.64262716150938,0,10.65995915449556
39,187.2396489145434,,C9,6,,,,0.0,0.0,,1,50.0
16,66.6163881276796,187.3139239793339,C10,2,W0,W0,V2,19.605103168683186,19.855103168683186,120.69753585165431,0,19.605103168683186
